Text,Label
بقالي كتير اوي مكلتش شاورما حلوة كده .,idk
اكبر خطا ترتكبه ان تعامل الناس باخلاقك انت مش باخلاقهم هما  .  ,r
دائما اكره اخر ليله في كل مكان   .  ,idk
يارب اللى يسرق تويتاتى يدخل النار .  ,idk
الاسراف فى تناول القهوة يسبب الوفاه .  ,r
انا اتبهدلت من التراب النهارده. حاجة تقرف  . ,idk
فى بنات بتلبـس اكســسوارات لدرجــة انك تحــس ان فى حنــطور ماشـــى جنبــك. ,idk
احتاج صديق حقيقى يواسينى ويخفف عنى .  ,idk
لازم اتعلم الثبات الانفعالى زيهم كدا .  ,idk
جروب الدفعه ليلة الامتحان دايما بتحس ان الناس اللى فيه بتذاكر منهج تاني . وبيكتبوا تعاويذ على الجروب.  ,r
النقاش هو الذى يؤدي الى نتيجه اما التعصب فيولد تعصب اكثر منه  .  ,r
وصلت الى مرحلة اني كرهت بلدى وانى فيها   .  ,f
عندما قرأت قصه اول شهيدة بالاسلام ام عمار عرفت كم نحن ضعاف   .  ,f
"اجمل انسان هو المتسامح ، المتواضع .  ",idk
اسمها شبكه تواصل اجتماعيه . مش شبكه مراقبه اجتماعيه. ,idk
امي عندها صور لي تنهي مستقبلي. ,r
دنيا ملهاش أمان صحيح   .  ,r
الرئيس الحنين رزق .,r
الحكم اللى اتقال النهارده عليهم قاسى جدا .  ,idk
عند الاستيقاظ تكتئب لمهامك الجديدة .  ,r
مصر في المرتبه السابعه في ترتيب الدول الأكثر خطوره في العمل الصحفي انا ايه اللي دخلني اعلام. ,f
سيناريو عبقري وخطة محكمة شفيق ينجح في نفس اليوم اللى مبارك يموت فيه . وشفيق يتجوز سوزان وجمال يورث الحكم.   ,f
العرب يسعون لتفسير الاحلام  الغرب يسعون لتحقيق الاحلام هذا هو الفرق بين العرب والغرب. ,f
حقيقة غاب صدام فظهر الشيعة   .  ,f
بعد هذه الاغنية الرائعة لدعم مرسى وهذا الصوت المبهر . اؤكد لكم ان احمد شفيق رئيسا للجمهورية باكتساح. ,f
قد تكون حياتي مليئة بالأصدقاء و لكن قليل ما يشعر بى احد     .  ,idk
القلق لا يعالج مريض ولا يوفق طالب . القلق يأكل من الراحه جزء و من العقل أجزاء . ,r
حرام العمر اللى بيضيع ده .  ,idk
يا صباح العكننه والمود الوحش .  ,idk
دعائكم لشباب الثورة . فانهم اخواتنا.  ,idk
يؤلمني ما حدث    .  ,idk
سرطان جديد للأسف دائما نفعلها  انتبهوا   .  ,idk
دعواتك له وأهم شيء أنه طلع من المرحلة الحرجة دى . ,idk
المجد للناس اللي بتلف من شارع تاني لما تلاقي كلب على اول الشارع. ,idk
رخمه اوى الاجازة دى .  ,r
‏​لا تكن مثل لمبة البنزين تضيء من اجل أن تأخذ.  بل كن مثل لمبة الثلاجة  تضيء من اجل أن تعطي .  ,idk
عيني بدات تحرقني مش عارفه ليه.,idk
الامكانيات مش بتساعد الواحد عنده افكار كتير والله . ,r
اشياء عجزنا عن تعليمها للصغار . ,idk
يارب ارزق اهلي وصحابي وحبايبي الجنة .,idk
انا بشوف بنات بتسوق موتسيكلات عادي يعني ومش بيعملوا حوادث .,r
اهو قررت اجرب حظي المرة دي يمكن يصيب .,idk
دي حاجه تفرحني وهفرح اكتر لو شيلت كلمة حضرتك دي متحسسنيش اني طنط .,idk
احلي حاجة ممكن تعملها وانت سهران هي القراية يبقي انت كدا مش خسران .,r
والله فرحت اول لما الدكتور فكرنا اننا خلاص هنتخرج وان دي اخر سنة لينا .,r
يعنى يوم ما انضف البيت .الدنيا تقلب تراب ده ايه الغلب ده . ,idk
الغسالة عندى اتحرقت . حد يعرف توكيل  ايديال فين . ,idk
نعم أخطأت و لكن ليس ذنبي  .فالحياة لم تأتي مرفقة بدليل استعمال . ,idk
اكثر شخص ظريف بالدنيا هو اللي لما توريه موبايلك الجديد . يعمل قال انه هيقع من ايده . ,r
ده لينك لمصحف كامل لمشاري العفاسي صدقه . ,idk
ممكن رتويت يا جماعه. ,idk
الايه دى  استوقفتنى كثيرا. قال تعالى  وما توفيقي إلا بالله عليه توكلت وإليه أنيب . ,idk
حقيقة لا يؤذينا بعمق  إلا من أحببناه بصدق  . ,r
‏‏‏شعب ظريف بطبعه . ,r
اخرس شوية بقى . ,idk
شويه خجل  صوره مؤثره . ,idk
احتمال تمطر النهارده فى سحب كتير من الصبح .يارب تمطر . ,idk
ربنا يحفظكم جميعا . رحلة سعيدة . ,idk
ربنا يعينك يا حبيبى . ,idk
ليكن من أعظم أهدافك في الحياة أن ينادي الله جبريل عليه السلام فيقول له إني أحب فلان فأحبه  . ,r
صباح الخير من القلب الى القلب . كل جمعة وانت الى الرحمن اقرب . كل جمعة وصحائف اعمالك بالحسنات اثقل  . ,idk
اعوذ بالله من الشيطان الرجيم  وبعدين فى الكوابيس بنت الكلب دى  . ,idk
اشوفكم فى صلاة العيد بقى . ,idk
الجنة  وطن الاشياء الحقيقية.  الجنة  أمنيتنا الخالدة والشوق الذي يكبر فينا كل يوم . ,r
لو كنت  صرصار تحب حد يضربك بالوحشية دى . ,idk
تقربوا الى الله ولو بركعه واحده. ,idk
اوتروا وتذوقوا جنة الدنيا. ,idk
بحب اوى ازعق لاولاد اختى علشان يخافوا منى ويشموا بعيد عنى . ,idk
قال احد الحكماء كن  مستمعا جيدا واياك والاستنتاج المبكر للاحداث . ,r
لتكون مهما تكن مهتما . ,idk
منظر يفتح النفس على الصبح والله . ,idk
لم تعد انت ذات المهم . فقط شتات ذكريات . ,idk
يلا كلنا نفتح المصحف دلوقتى ونقرا سورة الكهف . ,idk
ده تفكير جاهلى بمعنى الكلمة واكثر . ,idk
الرجل الذي ضحكت عليه من أجل ندبه في وجهه أو جسده .  فلقد حارب من أجل بلده وتعرض لهذه الندبه أو تعرض لحادث اليم . عيب عليك كلامك ده . ,r
صباح الأنفلونزا والتعب . ,idk
لازم يا جماعه نحترم شوية حكومتنا واصحاب المناصب والقرارات . ,r
سوريا ارض الثقافة والجمال والادب . ,r
إخوتي لا تنسوا سنن الجمعة : الغسل والطيب والسواك ولبس الجميل والتبكير لصلاة الجمعة وقراءة سورة الكهف وكثرة الصلاة علي رسولنا الكريم . ,idk
الفتاة التي قلت عنها قبيحه هي الان تنفق ساعات لوضع المكياج لكي يروها جميلة                ,r
البنات بتاخد كل يوم وقت طويل فى وضع المكياج علشان تنزل من بيتها . ده ايه المرار ده. احنا الشباب نغسل وشنا وننزل على طول . ,r
لا فى ميزة التوصيل هنا مجانى . ,r
بزهق كل شوية حد يعملى منشن . ,f
حكمة محشش بس قويه الحب مثل البصل قشرة تحت قشرة ولا شيء في النهاية غير الدموع  . ,f
يا ابن الايه اقنعتني . ,idk
يلا كله يجهز نفسه للماتش هيبدأ كمان ساعه . ,idk
المرض لا يؤلم المرضى فقط بل يؤلم من أحبوھم أيضا . ,r
يا جماعه خاطبوا الناس على قدر عقولهم . علشان ترتاحوا بلاش كلام مع ناس مش بتفهم الا كلامها ورايها . ,r
خطى وحش لدرجة ان انا مش بعرف افهم انا كاتب اايه . ,idk
الإنسان هكذا يظلم نفسه ويشتكى من الظروف . ,r
اتعلم ما هى الثقة الكبرى فى  قوله تعآلى ولسوف يعطيك ربك فترضى .  هو لن يعطيك فقط هو ايضا وعدك بالرضا . ,f
الحمد لك يا الله . فبالشكر  تدوم النعم. ,idk
ربنا يسمع منك يارب. ,idk
انا عكسك  أما بحس بغربة فى الميدان من المناظر اللي فيه بجري .  أدخل محمد محمود  شعور بريحة الحرية والقوة رغم المهازل اللي حصلت فيه . حقيقى الحرية  قيمة كبيرة اوى . ,idk
خلصنا من الناموس . ابتلانا بالذباب . الله يعين  . ,idk
الحاجات السريعه دى بتجيب السرطان . ,f
اعمل ايه في نفسي . ببقي مطحونة برة البيت وارجع البيت بطحن اكتر وبرده مش بعرف انام من كتر التفكير . ,idk
تشبهيين أيام  أوقات الخريف و تمطرين أحيان . إحساسك زهور . ,f
اشتاق لروح بعيده كل البعد عن طريق العودة . روح رحلت ولن يعيدها الزمان يوما. ,idk
كلها يومين  ويجى العيد . ,idk
ابى اتحجز النهارده فى المتشفى . ,idk
ده برنامج قليل الادب كله شتايم وايحاءات جنسية كتيرة . ,f
مش قادر ابص في شاشة اللاب وانا عندي امتحان بعد بكرا . حاجة خرا  . ,r
كلما هممت ببوح حزني . أخجلني قوله تعالى  وبشر الصابرين . ,r
ليه أصحى الساعة 6 يوم الجمعة ليه . ,idk
صباح صافى ونقى . ,f
حقا ان أكثر الاشياء التي تؤثر عمقا فينا . هي تلك الاشياء التي لا نعرف كيف نحكي عنها  . ,r
قال صلى الله عليه   من قرأ سورة الكهف في يوم الجمعة أضاء له من النور ما بين الجمعتين  . لا تنسوا سورة الكهف ربنا يبارك فيكم . ,r
يا ذا الجلال والإكرام ارفع عن خالتي  التعب وعن كل مسلم مريض   . ,idk
حين يؤلمني ما تقوله أفواههم . اغمض عيناى ﺑشده و اردد  ربي كون بقربي  . ,idk
معجزة بناء فندق في ساعة بالصين . ,f
كفاية رغدى وغيبة ونميمه يخربيتكم.مفيش حد الا لما اتريقتوا عليه. ,idk
قال النبي صلى الله عليه وسلم    من صلى علي صلاة واحدة صلى الله عليه بها عشرا  .رواه مسلم .اللهم صلي وسلم على اكمل خلقك محمد بن عبد الله. ,r
اللهم عجل لنا الفرح والخير انا وكل من قال امين . امين يارب العالمين . ,idk
كنت نعمه في  حياتك.  و ليتك كنت من الشاكرين . ,idk
صباحكم جميل  . ,idk
ربي أستغفرك لكل صلاة حضر فيها جسدي وغاب قلبى .سامحنى يارب فى الايام المفترجة دى . ,idk
بنت نزار قباني تقول لوالدها أنت أفسدت حياتي لأنني كلما قارنت رجلا بك سقط من عيني . ,r
كداب مغرور قال مش بيحبنا . ,idk
الحب ظلم بقسوه الرجال. أصبح الحب والعدوانيه وجهان لعمله واحده. ,idk
سامحونى حين اخطأ. فلسنا على الدنيا دائمون  . ,idk
هو انا مش بتابع مسلسلات اوى علشان الامتحانات . بعد الامتحانات هتفرج ولن ارحم احد . ,idk
الطريق إلى الله طويل. ليس المهم أن تصل إلى آخره لكن المهم أن تموت عليه. ,r
يارب ساعدنا على ترك ما نحب لأجل ما تحب  . ,idk
انت بتتكلم بعيون مظلوم ومناضل .مش اى حد هيفهم كدا . ,idk
كفانا ذل يا عرب .مشهد اليوم ده عار على كل العرب . ,r
أول رمضان سيصادف يوم الجمعه . اللهم بلغنا رمضآن لا فاقدين ولا مفقودين . ,idk
انا بشرب شاى بلبن وباكل بسكوت وكحك .كل سنة وانتم طيبين. ,r
زيادة  الصداقة تزرع الحياة أزهارا . و الحب يحولها بساتين فرح . ,r
على الرغم ان يوم الجمعه يوم مبارك . بس مش بحس بيه بيضيع هوا . ,r
فى مشكلة عند فى الرسائل الخاصة بى . محدش يزعل لو ماردتش عليه . ,f
معلش اصلك ما كنتش فى مدرسة عسكرية ومتعرفش النظام كان ايه هناك . ,r
عربيتى اتسرقت من تحت البيت . ,idk
انا لم ابكى على مشاعرهم التى لم تكن ابدا لى . بل ابكى على نفسى لاننى احببتهم لدرجة كبيرة جدا . ,idk
استغفروا كثيرا قال الرسول صلى الله عليه وسلم   من لزم الاستغفار  .جعل الله له من كل ضيق مخرج . ومن كل هم فرجا ورزقه . ,r
الألم ثلاث أنواع : ألم حبر و ألم جاف و ألم رصاص . ,f
ربنا يتقبل منكم صالح الاعمال . عيد سعيد عليكم وبلاش كحك كتير علشان الرجيم . ,idk
يارب  في هذه الليلة لعلها تكون ليلة القدر  أنزل  شفائك وفرجك ورزقك وأمنك لكل من يحتاجه  و أرزقنا ما نتمناه ويسر لنا ما نخاف تعسيره . ,idk
 كم هو مؤلم أن تتعلق بشخص و تبكي قهرا من تصرفاته   . ,r
لما اتخانقك معاك اعرف انى بحبك . بس لما اشتم تعرف انك غالى عليا . ,f
صلاة الجمعة يرحمكم الله . قال تعالى إن الصلاة كانت على المسلمين كتابا موقوتا . فهبوا الى المساجد. ,r
قال تعالى  وما كان الله معذبهم وهم يستغفرون.   استغفر الله واتوب اليه  . ,r
الناس مش بترحم حتى على حزننا بتحسدنا   . ,f
البعد حاجة وحشة اوى . يا مطول الغياب حن علينا  . ,r
انا عايزة انتحر . ,f
اللي يراضيك لازم تراضيه وتحطه علي راسك .,r
الواحد من غير صحابه في الجامعة بيحس انه يتيم كدا . ربنا ما يحرمني منكوا ابدا .,f
بحب اوي القاعدة علي البحر في الشتاء قاعدة بالدنيا وما فيها .,r
تسلم بطمن عليك بس .,idk
بجد بكرا هتشوفوا مصر هتبقى احسن بلد فى الدنيا .,r
‏‏‏‏امك عارفة اللى انت بتقوله ده . ,idk
ممكن اطلب منك طلب . بس طمنى عليك وكمل غيابك   . ,idk
سمعت أنشوده فكرتنى بأيام عزاء جدي . ,idk
ربنا يجعل قبرنا من نور وروحنا بالجنة . امين يارب العالمين . ,idk
توفى صديقى فى الاحداث الاخيرة . ربنا يصبرنى على فراقه . ,idk
اقترب شهر الرحمه والمغفره . ,idk
عندما تصدمك قلة ذوق البعض معك . لا تستغرب فهذا دليل على اخلاقك ورقيك . فلو كنت مثلهم لكان الامر اعتياديا . ,r
ابن اختى عنده هوايه معفنة يجيب تراب بايده ويحدفه على الناس فى الشارع . ,idk
الاستغفار بيغفر الذنوب  استفر الله واتوب اليه . ,r
قمة فى السخافة والاستظراف. ,idk
ده خبر جميل اوى على الصبح كدا. ,idk
‏انا طبيعتى بخاف من الحيوانات اوى . ,idk
وها قد جاءت اول ليلة امتحان فعلية .اللهم اجعلها بردا وسلاما علينا . ,idk
مش عايزة اروح الشغل بعد العيد. ,r
قمت العذاب ان اليوم الوحيد اللى بتاخده وينك اند مش بتقدر تخرج مع اصحاب بتبقى عايز تنام وبس . ,r
ياريت نعمل دار للمسنين يكون بمستوى عالى من الرعاية . ,idk
المشكله ان كثير من اللي جربوا القلم . بيقولوا انه مش نفس الموجود في الصوره وينصحون بعدم شراءه ابدا  بسبب سعره الغالي و عدم جودته. ,idk
انا فى الكلية نسيت الانجليزى خالص . ,idk
طبعا كلنا بنغلط . مفيش حد مش بيغلط      . ,r
اكثروا فى الدعاء والصلاة فى هذه الايام . ,idk
كنت سبب في اابتسامتي ولكنك أبدعت في بكائي . ,idk
يا سجان الشوق ما قررت  تحريري . ,idk
جميلة ضحكتك. ,idk
بلاش حزن يا جماعه دى ليلة عيد.هعيط. ,idk
يخربيت شقاوة  العيال. ,r
ايام كتير ضاعت منى وعدت من غير ما اذاكر ولا كلمة . ,r
مفيش حاجة هتغيرني للاحسن الفترة دي غير هدية و شيكولاته .,idk
يومكم كله فرحه وبهجه.,idk
وهي الدنيا الحلوة إيه غير ركعة وإبتسامة ورضا ربنا .,r
احلامي كتيرة والله بس اولها اخلص دراسة واتخرج .,r
انت فاهم غلط . اسكت بقى . ,idk
سبحان الله من ناس همها الاول والاخير انهم ينكدوا عليكم عيشتكم اول لما يسمعوا انك مبسوط شوية   . ,idk
ده انت مزعج بطريقة . ,idk
النهارده كان يوم مثالى بالنسبة لى . ,idk
الدنيا من غير امى ما تسواش .اه يا حزنى . ,r
انا قاعدة نايمة بحلم بمشروع التخرج والمناقشة . ,r
صديقاتى  بدأت أشعر بالم الوداع قبل أن نصل ليوم الرحيل  . ,idk
ربي اكتب لى فى ايامى القادمة فرحة تغير بيها مجرى حياتى  . يارب العالمين   . ,idk
قدامى دلوقتى فى التليفزيون مصطفى بكرى و احمد شفيق فى شاشة واحدة لا ياربى كدة كتير عليا . ,f
الواحد عايز اختراع كدا يدور على الحاجات اللى بتضيع من الواحد فى البيت . ,r
أعترف بفشلي في حفظي لكتاب الله   . ,idk
بحب اسمع اوى صوت العصافير الصبح . ,idk
هى قتل الأرواح بالساهل كدا يا جدعان . شعب واطى صحيح   . ,f
‏فى ناس فى الميدان دلوقتى بتتقل وتتصاب. ,f
صوتها فى الاغنية هنا تحفة .,idk
مش فارقة ولد ولا بنت فيه بنات بيبقوا السند اللي بجد لاهاليهم .,r
انا اول مرة اروح النهاردة واتبسطت الحقيقة الجو هناك جميل ورايق كدا .,idk
مفيش احلي من انك تصحي كل يوم علي صوت اهلك في البيت .,r
الله يحركم كفايه حسد فيا بقى . ,idk
